Area Name,Area ID,Age Group,2010 Total,2010 Male,2010 Female,2011 Total,2011 Male,2011 Female,2012 Total,2012 Male,2012 Female,2013 Total,2013 Male,2013 Female,2014 Total,2014 Male,2014 Female,2015 Total,2015 Male,2015 Female,2016 Total,2016 Male,2016 Female,2017 Total,2017 Male,2017 Female,2018 Total,2018 Male,2018 Female,2019 Total,2019 Male,2019 Female
Washington,53000,0-4,"439,657","225,088","214,569","438,885","224,542","214,343","436,713","223,260","213,453","435,418","222,475","212,943","436,847","223,429","213,418","440,342","225,251","215,091","447,560","228,945","218,615","454,134","232,308","221,826","453,821","232,146","221,675","453,551","232,006","221,545"
Washington,53000,5-9,"429,877","219,702","210,175","429,397","219,489","209,908","434,460","222,259","212,201","441,499","226,328","215,171","447,727","229,327","218,400","453,190","231,974","221,216","460,236","235,420","224,816","465,666","238,017","227,649","470,175","240,190","229,985","475,580","243,194","232,386"
Washington,53000,10-14,"438,233","224,717","213,516","438,463","224,870","213,593","436,907","224,050","212,857","436,242","223,298","212,944","437,910","223,873","214,037","440,474","225,182","215,292","445,863","228,007","217,856","457,106","233,979","223,127","469,215","240,690","228,525","478,896","245,453","233,443"
Washington,53000,15-19,"462,128","237,577","224,551","455,937","234,424","221,513","449,623","230,784","218,839","445,303","228,023","217,280","445,462","228,295","217,167","448,274","229,781","218,493","453,952","232,728","221,224","457,272","234,408","222,864","460,064","235,412","224,652","464,081","237,183","226,898"
Washington,53000,20-24,"461,512","238,131","223,381","462,100","238,320","223,780","467,107","240,844","226,263","473,826","244,517","229,309","479,231","246,661","232,570","481,136","246,840","234,296","484,886","248,717","236,169","487,273","249,485","237,788","488,776","249,668","239,108","492,661","251,872","240,789"
Washington,53000,25-29,"480,398","245,014","235,384","478,335","244,415","233,920","473,373","242,334","231,039","471,008","241,345","229,663","475,139","243,774","231,365","481,724","247,751","233,973","494,271","253,878","240,393","511,429","262,398","249,031","527,800","270,849","256,951","539,615","276,066","263,549"
Washington,53000,30-34,"453,383","229,863","223,520","463,031","234,722","228,309","472,608","239,853","232,755","482,031","245,224","236,807","491,442","250,321","241,121","495,912","252,533","243,379","503,492","256,865","246,627","507,984","259,633","248,351","513,014","262,414","250,600","522,479","267,559","254,920"
Washington,53000,35-39,"448,607","226,850","221,757","437,337","220,891","216,446","435,120","219,660","215,460","440,236","222,267","217,969","449,007","227,002","222,005","461,449","233,683","227,766","477,259","241,718","235,541","493,413","250,246","243,167","508,302","258,457","249,845","521,493","265,528","255,965"
Washington,53000,40-44,"459,698","232,587","227,111","467,743","236,891","230,852","470,210","238,294","231,916","467,225","236,496","230,729","460,377","232,695","227,682","452,224","228,358","223,866","444,548","224,247","220,301","445,981","224,893","221,088","454,120","229,044","225,076","465,060","234,902","230,158"
Washington,53000,45-49,"492,909","246,507","246,402","480,231","240,746","239,485","468,798","235,173","233,625","459,213","230,723","228,490","455,655","229,577","226,078","460,339","232,433","227,906","471,486","238,336","233,150","476,966","241,292","235,674","476,152","240,613","235,539","470,565","237,462","233,103"
Washington,53000,50-54,"495,296","245,997","249,299","497,288","247,123","250,165","496,614","247,001","249,613","495,559","246,569","248,990","494,829","246,333","248,496","489,797","244,023","245,774","480,003","239,734","240,269","471,227","235,525","235,702","463,564","232,078","231,486","461,238","231,583","229,655"
Washington,53000,55-59,"453,078","221,321","231,757","463,953","226,915","237,038","472,980","231,698","241,282","479,090","235,115","243,975","483,415","237,963","245,452","487,625","240,643","246,982","492,307","243,073","249,234","494,255","244,240","250,015","495,160","244,774","250,386","495,654","245,140","250,514"
Washington,53000,60-64,"382,087","186,378","195,709","402,786","196,040","206,746","407,628","198,065","209,563","416,254","202,265","213,989","428,294","207,292","221,002","441,272","213,358","227,914","454,473","219,941","234,532","465,815","225,730","240,085","473,700","229,941","243,759","479,135","233,274","245,861"
Washington,53000,65-69,"270,474","131,064","139,410","281,726","136,277","145,449","307,889","148,717","159,172","328,533","158,274","170,259","346,563","167,150","179,413","366,439","176,608","189,831","388,640","186,853","201,787","395,808","189,931","205,877","406,126","194,835","211,291","419,113","200,223","218,890"
Washington,53000,70-74,"186,746","88,760","97,986","194,834","92,871","101,963","205,466","98,320","107,146","220,790","105,700","115,090","236,603","113,119","123,484","251,298","119,911","131,387","262,967","125,295","137,672","289,051","137,588","151,463","309,866","147,163","162,703","327,717","155,859","171,858"
Washington,53000,75-79,"142,068","64,325","77,743","143,589","65,324","78,265","146,942","67,236","79,706","152,352","70,069","82,283","158,889","73,395","85,494","165,125","76,698","88,427","172,915","80,559","92,356","183,071","85,648","97,423","197,472","92,453","105,019","212,066","99,156","112,910"
